created_at,text,entities__hashtags__text,entities__hashtags__text,
Mon Nov 09 21:15:16 +0000 2015,Temporary Self Ban https://t.co/OwVyBh6hHl,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:19 +0000 2015,"The weekend stakes winners. More in Gary Dura's ""Off the Track"" Blog. https://t.co/BuNZ3ECAD7",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:24 +0000 2015,@bboysizzle103 had just seen some dude say that guns don't kill people,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:28 +0000 2015,"Some traffic that isn't converting today is super valuable in the long-term. Run the marathon, not the sprint. #hcic15",hcic15,,
,,,,
,,,,
,,,,
Mon Nov 09 21:15:29 +0000 2015,"Clerk (Logistics) - Penske Truck Leasing: (#Orlando, FL) https://t.co/b1YZ0dpjtM #Clerical #gopenskecareers #Job #Jobs #Hiring #CareerArc",Orlando,,
,,Clerical,,
,,gopenskecareers,,
,,Job,,
,,Jobs,,
,,Hiring,,
